Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	0.344935278	0.393197827	0.000	22050.000	
1	Spectrogram 1	1	0.344935278	0.393197827	0.000	22050.000	
2	Waveform 1	1	1.855168293	1.902011355	0.000	22050.000	
2	Spectrogram 1	1	1.855168293	1.902011355	0.000	22050.000	
3	Waveform 1	1	2.293252704	2.339386023	0.000	22050.000	
3	Spectrogram 1	1	2.293252704	2.339386023	0.000	22050.000	
4	Waveform 1	1	3.187000939	3.217519904	0.000	22050.000	
4	Spectrogram 1	1	3.187000939	3.217519904	0.000	22050.000	
5	Waveform 1	1	4.642028927	4.687452503	0.000	22050.000	
5	Spectrogram 1	1	4.642028927	4.687452503	0.000	22050.000	
6	Waveform 1	1	6.115564571	6.157439429	0.000	22050.000	
6	Spectrogram 1	1	6.115564571	6.157439429	0.000	22050.000	
7	Waveform 1	1	7.611602304	7.651347933	0.000	22050.000	
7	Spectrogram 1	1	7.611602304	7.651347933	0.000	22050.000	
8	Waveform 1	1	8.865608229	8.923452314	0.000	22050.000	
8	Spectrogram 1	1	8.865608229	8.923452314	0.000	22050.000	
9	Waveform 1	1	9.105501488	9.160506599	0.000	22050.000	
9	Spectrogram 1	1	9.105501488	9.160506599	0.000	22050.000	
10	Waveform 1	1	9.396334142	9.455952585	0.000	22050.000	
10	Spectrogram 1	1	9.396334142	9.455952585	0.000	22050.000	
11	Waveform 1	1	9.576254086	9.641195605	0.000	22050.000	
11	Spectrogram 1	1	9.576254086	9.641195605	0.000	22050.000	
12	Waveform 1	1	9.797914297	9.865339917	0.000	22050.000	
12	Spectrogram 1	1	9.797914297	9.865339917	0.000	22050.000	
13	Waveform 1	1	10.110428492	10.177854112	0.000	22050.000	
13	Spectrogram 1	1	10.110428492	10.177854112	0.000	22050.000	
14	Waveform 1	1	10.271540237	10.338610985	0.000	22050.000	
14	Spectrogram 1	1	10.271540237	10.338610985	0.000	22050.000	
15	Waveform 1	1	10.516023446	10.589481885	0.000	22050.000	
15	Spectrogram 1	1	10.516023446	10.589481885	0.000	22050.000	
16	Waveform 1	1	10.661329366	10.754305747	0.000	22050.000	
16	Spectrogram 1	1	10.661329366	10.754305747	0.000	22050.000	
17	Waveform 1	1	10.867239484	10.945028458	0.000	22050.000	
17	Spectrogram 1	1	10.867239484	10.945028458	0.000	22050.000	
18	Waveform 1	1	11.031936233	11.112736393	0.000	22050.000	
18	Spectrogram 1	1	11.031936233	11.112736393	0.000	22050.000	
19	Waveform 1	1	11.180206359	11.358368203	0.000	22050.000	
19	Spectrogram 1	1	11.180206359	11.358368203	0.000	22050.000	
20	Waveform 1	1	11.708403626	11.787949126	0.000	22050.000	
20	Spectrogram 1	1	11.708403626	11.787949126	0.000	22050.000	
21	Waveform 1	1	11.872984344	11.952309700	0.000	22050.000	
21	Spectrogram 1	1	11.872984344	11.952309700	0.000	22050.000	
22	Waveform 1	1	12.050001598	12.134314809	0.000	22050.000	
22	Spectrogram 1	1	12.050001598	12.134314809	0.000	22050.000	
23	Waveform 1	1	12.200592253	12.383270876	0.000	22050.000	
23	Spectrogram 1	1	12.200592253	12.383270876	0.000	22050.000	
24	Waveform 1	1	12.459367338	12.560743936	0.000	22050.000	
24	Spectrogram 1	1	12.459367338	12.560743936	0.000	22050.000	
25	Waveform 1	1	12.586589699	12.783571456	0.000	22050.000	
25	Spectrogram 1	1	12.586589699	12.783571456	0.000	22050.000	
26	Waveform 1	1	13.037766309	13.091465795	0.000	22050.000	
26	Spectrogram 1	1	13.037766309	13.091465795	0.000	22050.000	
27	Waveform 1	1	13.459913258	13.536698503	0.000	22050.000	
27	Spectrogram 1	1	13.459913258	13.536698503	0.000	22050.000	
28	Waveform 1	1	13.621544928	13.799204908	0.000	22050.000	
28	Spectrogram 1	1	13.621544928	13.799204908	0.000	22050.000	
29	Waveform 1	1	14.583621880	14.628789671	0.000	22050.000	
29	Spectrogram 1	1	14.583621880	14.628789671	0.000	22050.000	
