Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	0.369578303	0.432977568	0.000	22050.000	no overlap
1	Spectrogram 1	1	0.369578303	0.432977568	0.000	22050.000	no overlap
2	Waveform 1	1	0.637228176	0.701695968	0.000	22050.000	no overlap
2	Spectrogram 1	1	0.637228176	0.701695968	0.000	22050.000	no overlap
3	Waveform 1	1	0.875690495	0.940514463	0.000	22050.000	no overlap
3	Spectrogram 1	1	0.875690495	0.940514463	0.000	22050.000	no overlap
4	Waveform 1	1	1.096934017	1.166744444	0.000	22050.000	no overlap
4	Spectrogram 1	1	1.096934017	1.166744444	0.000	22050.000	no overlap
5	Waveform 1	1	1.219814615	1.288556514	0.000	22050.000	no overlap
5	Spectrogram 1	1	1.219814615	1.288556514	0.000	22050.000	no overlap
6	Waveform 1	1	1.310639404	1.382230709	0.000	22050.000	no overlap
6	Spectrogram 1	1	1.310639404	1.382230709	0.000	22050.000	no overlap
7	Waveform 1	1	1.411178804	1.473153366	0.000	22050.000	no overlap
7	Spectrogram 1	1	1.411178804	1.473153366	0.000	22050.000	no overlap
8	Waveform 1	1	1.498441837	1.653378243	0.000	22050.000	no overlap
8	Spectrogram 1	1	1.498441837	1.653378243	0.000	22050.000	no overlap
9	Waveform 1	1	1.692717577	1.759322423	0.000	22050.000	no overlap
9	Spectrogram 1	1	1.692717577	1.759322423	0.000	22050.000	no overlap
10	Waveform 1	1	1.787816474	1.993329822	0.000	22050.000	no overlap
10	Spectrogram 1	1	1.787816474	1.993329822	0.000	22050.000	no overlap
11	Waveform 1	1	2.035727872	2.102332718	0.000	22050.000	no overlap
11	Spectrogram 1	1	2.035727872	2.102332718	0.000	22050.000	no overlap
12	Waveform 1	1	2.139374985	2.203130426	0.000	22050.000	no overlap
12	Spectrogram 1	1	2.139374985	2.203130426	0.000	22050.000	no overlap
13	Waveform 1	1	2.226507852	2.382512784	0.000	22050.000	no overlap
13	Spectrogram 1	1	2.226507852	2.382512784	0.000	22050.000	no overlap
14	Waveform 1	1	2.419360814	2.487034187	0.000	22050.000	no overlap
14	Spectrogram 1	1	2.419360814	2.487034187	0.000	22050.000	no overlap
15	Waveform 1	1	2.515528238	2.722110112	0.000	22050.000	no overlap
15	Spectrogram 1	1	2.515528238	2.722110112	0.000	22050.000	no overlap
16	Waveform 1	1	2.766473654	2.831297621	0.000	22050.000	no overlap
16	Spectrogram 1	1	2.766473654	2.831297621	0.000	22050.000	no overlap
17	Waveform 1	1	2.868339888	2.930670626	0.000	22050.000	no overlap
17	Spectrogram 1	1	2.868339888	2.930670626	0.000	22050.000	no overlap
18	Waveform 1	1	2.954890570	3.110539327	0.000	22050.000	no overlap
18	Spectrogram 1	1	2.954890570	3.110539327	0.000	22050.000	no overlap
19	Waveform 1	1	3.147298688	3.216040587	0.000	22050.000	no overlap
19	Spectrogram 1	1	3.147298688	3.216040587	0.000	22050.000	no overlap
20	Waveform 1	1	3.245959341	3.452185040	0.000	22050.000	no overlap
20	Spectrogram 1	1	3.245959341	3.452185040	0.000	22050.000	no overlap
21	Waveform 1	1	3.497057697	3.563662543	0.000	22050.000	no overlap
21	Spectrogram 1	1	3.497057697	3.563662543	0.000	22050.000	no overlap
22	Waveform 1	1	3.599992459	3.667665831	0.000	22050.000	no overlap
22	Spectrogram 1	1	3.599992459	3.667665831	0.000	22050.000	no overlap
23	Waveform 1	1	3.687585043	3.845727030	0.000	22050.000	no overlap
23	Spectrogram 1	1	3.687585043	3.845727030	0.000	22050.000	no overlap
24	Waveform 1	1	3.879207540	3.949017967	0.000	22050.000	no overlap
24	Spectrogram 1	1	3.879207540	3.949017967	0.000	22050.000	no overlap
25	Waveform 1	1	3.978510800	4.188654431	0.000	22050.000	no overlap
25	Spectrogram 1	1	3.978510800	4.188654431	0.000	22050.000	no overlap
